Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],BNB-USD_BTC-USD,true,8,12,121,46.28099173553719,1.5174177995165425,45.45454545454545,787.1118625992467,551.9442061802881,1.3636363636363638,3,1073.334358089882,2.7128687384390306,0,0,2662,2663 days 00:00:00,1000.0,96240.53537450854,9524.053537450854,2386.308089991244,100.0,15324.529556071902,47.53305583325671,827 days 00:00:00,121,0,0.0,424.00131760357453,-20.359367213971193,23.10276720665961,-4.846882330355803,15 days 00:51:25.714285714,7 days 00:22:09.230769230,1.2633198025062464,1.8303442763619078,1.4150955410037678,2.9911248582683228,10 days 17:27:16.363636362,0
Most Sharpe Ratio,BNB-USD_BTC-USD,true,8,12,121,46.28099173553719,1.5174177995165425,45.45454545454545,787.1118625992467,551.9442061802881,1.3636363636363638,3,1073.334358089882,2.7128687384390306,0,0,2662,2663 days 00:00:00,1000.0,96240.53537450854,9524.053537450854,2386.308089991244,100.0,15324.529556071902,47.53305583325671,827 days 00:00:00,121,0,0.0,424.00131760357453,-20.359367213971193,23.10276720665961,-4.846882330355803,15 days 00:51:25.714285714,7 days 00:22:09.230769230,1.2633198025062464,1.8303442763619078,1.4150955410037678,2.9911248582683228,10 days 17:27:16.363636362,0
Most Omega Ratio,BNB-USD_BTC-USD,true,8,12,121,46.28099173553719,1.5174177995165425,45.45454545454545,787.1118625992467,551.9442061802881,1.3636363636363638,3,1073.334358089882,2.7128687384390306,0,0,2662,2663 days 00:00:00,1000.0,96240.53537450854,9524.053537450854,2386.308089991244,100.0,15324.529556071902,47.53305583325671,827 days 00:00:00,121,0,0.0,424.00131760357453,-20.359367213971193,23.10276720665961,-4.846882330355803,15 days 00:51:25.714285714,7 days 00:22:09.230769230,1.2633198025062464,1.8303442763619078,1.4150955410037678,2.9911248582683228,10 days 17:27:16.363636362,0
Most Sortino Ratio,BNB-USD_BTC-USD,true,8,12,121,46.28099173553719,1.5174177995165425,45.45454545454545,787.1118625992467,551.9442061802881,1.3636363636363638,3,1073.334358089882,2.7128687384390306,0,0,2662,2663 days 00:00:00,1000.0,96240.53537450854,9524.053537450854,2386.308089991244,100.0,15324.529556071902,47.53305583325671,827 days 00:00:00,121,0,0.0,424.00131760357453,-20.359367213971193,23.10276720665961,-4.846882330355803,15 days 00:51:25.714285714,7 days 00:22:09.230769230,1.2633198025062464,1.8303442763619078,1.4150955410037678,2.9911248582683228,10 days 17:27:16.363636362,0
Most Expectancy,BNB-USD_BTC-USD,true,7,44,41,42.5,1.8778038729665203,15.026296018031555,1410.2133494963305,550.3587452120665,0.4620586025544703,1,651.6012095719333,2.4338955312148007,0,0,2662,2663 days 00:00:00,1000.0,56694.373771075196,5569.43737710752,2386.308089991244,100.0,3232.9241338913575,48.8572853675921,1378 days 00:00:00,40,1,-714.1602087780411,491.6273540502748,-22.61888438238199,63.304863068460804,-6.676070028184668,52 days 04:14:07.058823530,16 days 21:54:46.956521739,1.160212556671269,1.5129512543145593,1.3749755782105757,1.3339137978315097,31 days 21:35:59.999999999,0
Least Max Drawdown Duration,BNB-USD_BTC-USD,true,8,16,87,41.86046511627907,1.4749269983576143,32.30653643876784,735.1851794557015,466.2908114941024,0.980465815176559,2,720.8239362807591,2.5055334934434854,0,0,2662,2663 days 00:00:00,1000.0,64278.23767592038,6327.823767592038,2386.308089991244,100.0,8084.272607636898,43.424632336355565,1172 days 00:00:00,86,1,52.31224273004045,302.7379618108796,-14.833162300924595,31.37293476009929,-5.3799706281399855,23 days 10:00:00,9 days 00:28:48,1.1829479911652658,1.7717443063962768,1.3801742570232867,1.6517212065501807,15 days 01:06:58.604651162,0
Mean Best Trade [%],BNB-USD_BTC-USD,true,27,30,82,48.148148148148145,1.375874379666145,30.428249436513898,567.4065698198679,413.9329633927206,0.9241172051089406,2,524.3501734623873,2.342712874764142,0,0,2662,2663 days 00:00:00,1000.0,46913.01913627317,4591.301913627317,2386.308089991244,100.0,7173.210635673869,68.10490507433695,1378 days 00:00:00,81,1,-46.91301913627103,261.0556656551883,-19.51521435465586,24.246983392961518,-5.51298916169635,21 days 09:13:50.769230769,11 days 21:08:34.285714285,1.1138907023405187,1.0199318650116058,1.3511561927051836,0.9240189198051807,16 days 10:57:46.666666665,1
Most Calmar Ratio,BNB-USD_BTC-USD,true,6,11,120,42.5,1.508127840406373,45.07888805409466,618.358654039555,398.18549691941035,1.35236664162284,3,836.2476162818924,2.5362135597480244,0,0,2662,2663 days 00:00:00,1000.0,75203.0384847465,7420.30384847465,2386.308089991244,100.0,13081.858297946701,37.88069675383951,837 days 00:00:00,120,0,0.0,437.37246929907553,-21.209316785679498,24.656212703667958,-4.646747466163393,15 days 23:03:31.764705882,6 days 20:52:10.434782608,1.2102113615956922,2.1326266901846758,1.3954399708570417,2.109533039592502,10 days 17:35:59.999999998,0
Median Avg Losing Trade [%],BNB-USD_BTC-USD,true,27,33,58,43.103448275862064,1.454417223240909,21.788129226145756,658.5426807761758,377.9514926401376,0.6536438767843726,2,430.4523908905131,2.273492006367279,0,0,2662,2663 days 00:00:00,1000.0,39195.47548501816,3819.5475485018164,2386.308089991244,100.0,4097.005433444432,63.39117502656008,1378 days 00:00:00,58,0,0.0,236.17163471163587,-19.089613592557146,36.1291342017672,-6.371260584702567,32 days 19:12:00,15 days 07:16:21.818181818,1.0795645915478262,1.0307218264152733,1.3449127824228664,0.600609562747546,22 days 20:16:33.103448275,0
Median Total Trades,BNB-USD_BTC-USD,true,35,42,49,53.06122448979592,2.4034178760102893,18.407212622088654,580.3378265365426,346.3908055544102,0.5522163786626596,2,320.47205297096826,2.142319224844312,0,0,2662,2663 days 00:00:00,1000.0,29436.553500290578,2843.655350029058,2386.308089991244,100.0,1675.2927224387543,55.95362090510715,819 days 00:00:00,49,0,0.0,196.27649057888422,-29.331115223689764,29.789932866980728,-6.431556192771973,29 days 12:00:00,23 days 00:00:00,1.0304125345595,1.05401034131759,1.3357756485125327,0.19165474146278078,26 days 10:46:31.836734693,0
