Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration
RUNE-USD,false,8,12,48,52.083333333333336,1.7376886607816868,23.414634146341463,67282.45374422408,38614.81505063366,0.7024390243902439,2,47261.821166674476,3.2654874809783814,0,0,2050,2051 days 00:00:00,1000.0,3230557.7797227553,322955.7779722755,6917.772783836856,100.0,156140.30729262021,60.07325800221128,504 days 00:00:00,48,0,0.0,584.8282913006665,-33.58356779544667,81.53389830057554,-10.325225622140549,35 days 02:52:48,7 days 12:31:18.260869565,1.8563508055791134,5.347282569147203,1.4718614902317504,45.68493575372276,21 days 21:29:59.999999999
SOL-USD,true,26,32,35,57.14285714285714,3.3334619695684036,19.574944071588366,60895.67529277922,27959.446874554273,0.587248322147651,2,35760.88314173276,3.6918792705028416,0,0,1788,1789 days 00:00:00,1000.0,2132348.6352472724,213134.86352472723,14208.697334513834,100.0,41258.25386290974,57.894682636047726,240 days 00:00:00,35,0,0.0,475.08343888985695,-28.921170908367756,91.03483889430615,-8.780615667040811,34 days 01:12:00,15 days 19:12:00,2.078839846096114,6.524175613904352,1.5643594001993908,14.000309916308023,26 days 05:29:08.571428570
SOL-USD,true,27,30,44,54.54545454545454,2.627241486894128,24.608501118568235,50585.641541878635,27870.876882577755,0.738255033557047,2,37345.104494004365,3.671104164003568,0,0,1788,1789 days 00:00:00,1000.0,2226768.22784266,222576.822784266,14208.697334513834,100.0,60015.755383667856,66.77081600549596,337 days 00:00:00,44,0,0.0,635.4640362110786,-28.921170908367756,86.05794203049446,-8.650958563346864,28 days 05:00:00,11 days 22:48:00,2.082453412432635,5.72041411317001,1.5628358858372768,14.664829614155597,20 days 19:38:10.909090908
RUNE-USD,true,3,26,51,41.17647058823529,1.682082463892858,24.878048780487806,56241.75049307762,27113.791560023645,0.7463414634146341,2,41975.550368004275,3.239211798575689,0,0,2050,2051 days 00:00:00,1000.0,2869329.27514696,286832.92751469597,6917.772783836856,100.0,156430.16403903902,70.80438843106344,731 days 00:00:00,51,0,0.0,503.2417581983234,-31.741580814218544,91.23029195275537,-8.059807385111734,37 days 19:25:42.857142857,8 days 10:24:00,1.8513884954635595,4.412621996299261,1.4645190530635817,40.46319002914803,20 days 12:42:21.176470587
SOL-USD,true,27,29,48,54.166666666666664,3.004896811935787,26.845637583892618,40192.10759180832,23989.779554339217,0.8053691275167785,2,32369.48262427516,3.613948935564738,0,0,1788,1789 days 00:00:00,1000.0,1930221.164406799,192922.1164406799,14208.697334513834,100.0,48824.39677432014,76.12327450385578,337 days 00:00:00,48,0,0.0,672.4607983714222,-22.091498034860297,76.08268232359634,-7.843457105954936,27 days 06:27:41.538461538,9 days 19:38:10.909090909,2.0673381715003796,4.835662690361101,1.5469260547091683,12.577748325461178,19 days 06:29:59.999999999
ADA-USD,true,2,18,99,34.69387755102041,1.8360846690781345,36.69037813552976,44342.108836928775,23309.086277915558,1.1119430924747287,3,49305.90162698558,3.3819034622696877,0,0,2671,2672 days 00:00:00,1000.0,3051536.02926487,305053.60292648704,2376.4463523583117,100.0,256984.3616950432,66.1708923535848,823 days 00:00:00,98,1,-1294990.6367541477,1792.786705301054,-19.67743639575008,91.98901548057965,-6.029820500876332,25 days 16:56:28.235294117,5 days 15:00:00,1.4733602714981453,3.010698378318965,1.5217658088239499,127.36544895017776,12 days 14:12:14.693877550
BNB-USD,true,11,21,64,48.4375,2.195637855409455,23.961063272182706,28426.39697211537,20229.988662432886,0.7188318981654811,2,20433.800893471176,3.1857510716838306,0,0,2671,2672 days 00:00:00,1000.0,1820289.4062153834,181928.94062153835,28002.112763221136,100.0,100897.30730442486,59.46165374562943,422 days 00:00:00,64,0,0.0,646.6988703931062,-16.477605542373162,60.03930565709342,-5.4836066915192605,34 days 22:27:05.806451613,11 days 16:00:00,1.641866661894661,3.0075011174611967,1.4810870164512455,5.496971930649804,22 days 22:30:00
BNB-USD,false,16,18,39,51.28205128205128,2.5475342454495693,14.601272931486335,37162.828105428285,17062.822821592414,0.43803818794459004,1,16278.737882198087,3.113890985049203,0,0,2671,2672 days 00:00:00,1000.0,1450350.296111704,144935.0296111704,28002.112763221136,100.0,52808.35912876717,62.48123090153832,503 days 00:00:00,39,0,0.0,1564.4164038756523,-12.033186666753416,132.09458345520787,-6.66887889326394,60 days 15:36:00,13 days 02:31:34.736842105,1.6044668686513854,2.7257861969724364,1.4692664174555665,4.175860508694639,37 days 11:41:32.307692307
SOL-USD,true,29,30,74,56.75675675675676,2.09869881081202,41.38702460850112,19206.541018405893,16516.681465459613,1.2416107382550337,3,23847.047573188527,3.4956282672457673,0,0,1788,1789 days 00:00:00,1000.0,1422284.035362037,142128.4035362037,14208.697334513834,100.0,70961.91285149101,60.74335733027222,574 days 00:00:00,74,0,0.0,497.9678947999871,-25.75708702951422,43.85177843269354,-7.435543358967005,16 days 11:25:42.857142857,7 days 12:00:00,1.984853858257508,5.594553052691718,1.5235677463545574,9.00291583317527,12 days 14:16:12.972972972
BNB-USD,false,12,22,41,48.78048780487805,2.524078764306725,15.350056158742044,35537.47640432693,16316.564005659748,0.46050168476226133,1,16365.067756391662,3.110903067768539,0,0,2671,2672 days 00:00:00,1000.0,1458036.532577404,145703.65325774043,28002.112763221136,100.0,59620.75025392245,61.1051446097803,552 days 00:00:00,41,0,0.0,1564.4164038756526,-13.577050533746629,135.19687802171475,-6.259360753124968,59 days 14:24:00,12 days 18:17:08.571428571,1.6033334603650895,2.7903659796334255,1.4681843685373472,4.20330928204504,35 days 14:38:02.926829267
