Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Median Avg Winning Trade [%],BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Most Avg Losing Trade [%],BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Least Avg Losing Trade [%],BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Mean Avg Losing Trade [%],BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Median Avg Losing Trade [%],BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Most Profit Factor,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Least Profit Factor,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Mean Profit Factor,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Median Profit Factor,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Most Expectancy,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Least Expectancy,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Mean Expectancy,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Median Expectancy,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Most Sharpe Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Least Sharpe Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Mean Sharpe Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Median Sharpe Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Most Calmar Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Least Calmar Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Mean Calmar Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Median Calmar Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Most Omega Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Least Omega Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Mean Omega Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Median Omega Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Most Sortino Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Least Sortino Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Mean Sortino Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Median Sortino Ratio,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Most Max Drawdown Duration,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Least Max Drawdown Duration,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
Most Avg Winning Trade Duration,BTC-USD,SMA,6,8,0,true,false,1,4,1.7880034888183043,66.66666666666666,18.918645341042428,7.0582531545396305,8.884548588911812,-0.09095822280552507,13 days 23:59:59.999999999,0.05084745762711865,2.0338983050847457,3.5593220338983054,14.355769127877213,0,59,60 days 00:00:00,1000.0,1209.9463678241684,20.99463678241684,23.095348650764347,100.0,7.794376731501901,3.9270668202023566,10 days 00:00:00,3,-1.2099463678239317,21.281442622577913,-1.179595145075224,11.17717730434706,-1.179595145075224,18 days 00:00:00,6 days 00:00:00,70.38543806399743,3.9330906804267665,55.71132051955104,2.114374047077744,1.8022579135439103,6.938231040947919,1.9381762098212656,0.6666666666666667,-0.01262436403084236,None,None,0.0033054370470677625,0.8329701358610762,0.2099463678241673,1.2264743935701485,0.2548834479398294,43,42,59,,
